timestep,age,mean,std,mode,2.5%,25%,50%,75%,97.5%
0,0.055,6.264777539,0.423395621,6.20708689,5.47019553,5.979318112,6.252688617,6.541811111,7.131056017
1,0.105,6.479454103,0.300688699,6.47719997,5.90030094,6.274407454,6.475440933,6.680121768,7.092323417
2,0.155,6.028607104,0.447651924,5.936136223,5.19938924,5.713927901,6.012255376,6.320215718,6.948601166
3,0.205,7.475568855,0.560026098,7.400327566,6.427980067,7.091302192,7.458524134,7.836349936,8.625885354
4,0.255,7.002657606,0.585350602,6.891320816,5.937833462,6.594186351,6.974336834,7.377972997,8.219330235
5,0.305,6.836637913,0.551938408,6.812182784,5.815518404,6.458446205,6.81562582,7.193369385,7.986035819
6,0.355,7.093444277,0.603106164,7.020334131,5.978186591,6.682982518,7.064926992,7.474011702,8.342896516
7,0.405,6.706619584,0.581728279,6.638205086,5.626624505,6.301531232,6.686834131,7.083754829,7.902938278
8,0.455,6.448650296,0.643515096,6.392329202,5.278925926,6.008535876,6.420895565,6.85143304,7.832992016
9,0.505,6.738247888,0.694130173,6.682818458,5.462016242,6.258324198,6.717784009,7.188232775,8.180209851
10,0.555,6.66351305,0.772259685,6.76579317,5.233490999,6.129465535,6.642804386,7.155393349,8.258718549
11,0.605,6.590934869,0.933322395,6.385033606,4.871017451,5.961755828,6.531077338,7.1737184,8.583918716
12,0.655,7.112140181,0.936073751,6.943214367,5.392483507,6.472737921,7.067863344,7.699748612,9.073205619
13,0.705,7.424407,0.790775921,7.367634841,5.913244816,6.886178648,7.400842861,7.933135092,9.035752789
14,0.755,5.452494038,0.490954744,5.442107201,4.518301957,5.120831022,5.442072614,5.778304098,6.453553424
15,0.805,5.18077379,0.486149054,5.095849096,4.266841762,4.844517034,5.163116743,5.494104746,6.17291941
16,0.855,6.791541127,0.658342269,6.868327677,5.557217444,6.339760656,6.780919222,7.21439031,8.149815236
17,0.905,6.798855868,0.743485268,6.763735654,5.436421733,6.289011873,6.773699759,7.276744635,8.353348175
18,0.955,7.44799933,0.922120238,7.290776776,5.706406795,6.811114404,7.417203746,8.057025594,9.348962901
19,1.005,6.718941112,0.985868842,6.625844873,4.897702643,6.03659107,6.684307945,7.350116918,8.783757535
20,1.055,6.142571912,1.268552962,5.873013799,3.836749301,5.281517982,6.070992536,6.924092069,8.822635912
21,1.105,5.50233112,1.227474543,5.364997559,3.285128995,4.67146987,5.429991582,6.26874138,8.059343842
22,1.155,5.31315666,0.855001936,5.290428054,3.737416309,4.725367514,5.275604181,5.86203022,7.116543583
23,1.205,4.931604335,0.769442449,4.853047238,3.526963981,4.406014819,4.89323504,5.420675982,6.528748721
24,1.255,4.727342495,0.958817404,4.512082969,3.042760723,4.076617461,4.655379108,5.291591069,6.879463508
25,1.305,5.272643676,1.080976012,4.925489914,3.462620028,4.509876655,5.177680924,5.922300321,7.657558635
26,1.355,6.79219934,1.339269639,6.841658394,4.181293986,5.883769961,6.789912274,7.691645351,9.434287726
27,1.405,5.945310979,1.197428603,5.691826623,3.771285887,5.120185957,5.898219852,6.720302275,8.396959285
28,1.455,5.194654533,1.122154564,5.053613804,3.191412128,4.412348567,5.137057226,5.876470535,7.569784977
29,1.505,4.333686359,1.050295799,3.979870183,2.626729762,3.606784019,4.202170429,4.93627608,6.733456131
30,1.555,4.732306855,1.21245264,4.362819639,2.761030785,3.86911002,4.590417223,5.452208328,7.446219755
31,1.605,5.324280568,1.397406298,4.996562018,2.975117927,4.342339039,5.185868232,6.148504788,8.429935728
32,1.655,5.422226445,1.166435415,5.342643315,3.395195981,4.623534466,5.336134118,6.110127486,8.000089071
33,1.705,5.183963077,1.160492836,4.763017998,3.229633589,4.386330332,5.063009027,5.874507358,7.788402727
34,1.755,5.335702413,1.32081334,5.093391809,3.170328818,4.416272817,5.199803075,6.105633573,8.342741736
35,1.805,5.341227306,1.216111416,4.973790957,3.288354695,4.519536709,5.225551515,6.040255829,8.050358159
36,1.855,5.391991563,1.22629678,5.105365912,3.278152976,4.564164222,5.288307617,6.11533929,8.100445511
37,1.905,5.308545231,1.185976587,5.062510152,3.254761062,4.499524463,5.20875723,5.999852375,7.926643429
38,1.955,5.189438042,1.081827005,4.949311657,3.300614698,4.439774455,5.102374128,5.841400929,7.554950625
39,2.005,5.041290787,0.980014744,4.97913499,3.337590745,4.369031599,4.976452476,5.62918471,7.203954818
40,2.055,4.931754298,0.929369062,4.810310673,3.309397194,4.295011393,4.870992593,5.496142448,6.94214531
41,2.105,4.728834237,0.798620246,4.539521966,3.305904315,4.169639596,4.677164671,5.231565818,6.470503228
42,2.155,4.626552367,0.771896588,4.464714628,3.304448705,4.086181437,4.56370028,5.098993629,6.325121557
43,2.205,5.217483506,1.156541169,5.040306024,3.150300158,4.426889562,5.133706995,5.91721409,7.734154997
44,2.255,5.504219669,1.207960384,5.207171588,3.362556197,4.688800612,5.415819358,6.248048254,8.108434293
45,2.305,5.827072954,1.261560217,5.675949928,3.578183759,4.962818778,5.766583531,6.606377603,8.467306163
46,2.355,6.058331283,1.250440182,5.77289735,3.829855263,5.208227353,5.984324546,6.820982035,8.693988289
47,2.405,6.121367466,1.196457723,6.106361181,3.979122408,5.295791502,6.070835137,6.857410894,8.706844831
48,2.455,6.208199823,1.169360844,5.97796208,4.087025111,5.395469192,6.144673685,6.924479004,8.762885889
49,2.505,6.258383642,1.208007574,6.048450007,4.12369888,5.451418939,6.174743396,6.959243301,8.907049139
50,2.555,6.292811012,1.265893187,5.96187971,4.044815252,5.446893049,6.204279867,7.031134539,9.029073469
51,2.605,5.985926643,1.290033326,5.796057684,3.778339489,5.100481346,5.888099263,6.740590518,8.837612278
52,2.655,5.936363449,1.241567452,5.560801801,3.781068235,5.074699651,5.830255367,6.688854453,8.678092531
53,2.705,6.422564158,1.392797292,6.086483438,3.975927388,5.495284636,6.317419464,7.262078578,9.432058591
54,2.755,6.290623782,1.39500281,6.054266084,3.753803906,5.355288128,6.200226412,7.142078511,9.292681148
55,2.805,6.348850696,1.367060025,6.123304277,3.85842595,5.425524109,6.2721816,7.163989558,9.22095111
56,2.855,6.366468275,1.400298851,6.159936525,3.881246583,5.432435488,6.269302154,7.212138622,9.418973056
57,2.905,6.021205322,1.443769396,5.930712727,3.467388539,5.048692259,5.937729592,6.863348711,9.217839029
58,2.955,5.676995058,1.510961649,5.367304233,3.029830444,4.660639302,5.564978738,6.565608775,8.864050068
59,3.005,5.799562575,1.484775746,5.576128228,3.203705907,4.776814835,5.680431215,6.677121293,9.097228794
60,3.055,6.076282101,1.340693895,5.780163855,3.73049699,5.154978518,5.969610384,6.876863063,8.976835788
61,3.105,6.104047635,1.298415044,5.801516149,3.899208662,5.20087002,5.996761366,6.889948291,9.007653788
62,3.155,6.226734658,1.382250902,5.998024057,3.780231549,5.28787001,6.118694898,7.054792499,9.279690529
63,3.205,6.131972354,1.472428601,5.820965316,3.564806582,5.12024152,6.026283283,7.01308398,9.388950549
