Model,Duration_kyr,ADF_median,ADF_iqr,NADF_median,NADF_iqr,ADF_StableTime,NADF_StableTime,Model_G_a_S_nocut,Model_G_b_S_nocut,Model_G_a_Svd,Model_G_b_Svd,Model_G_a_SpSE,Model_G_b_SpSE,t_trans,VDM_median,VDM_IQR
model017,99990,1.96330666641238,2.8050006851214,9.60478065437475,3.40668464127676,23490,70,52.7521589731442,0.546178528780771,52.7521589731442,0.546178528780771,46.7185540522346,0.555890967572087,0.7662,20.6928161895491,12.8941322964332
model018,99990,2.14285868060262,2.89604757920388,9.60478065437475,3.40668464127676,5740,70,52.7499197739522,0.540722495440928,52.7499197739522,0.540722495440928,46.7102664796648,0.552070185642753,0.7515,20.6927498380729,13.077103665895
model019,99990,2.16932123963743,2.97936292960425,9.60478065437475,3.40668464127676,5060,70,52.7414915737963,0.53979498287002,52.7414915737963,0.53979498287002,46.6718257696898,0.551212773960558,0.7458,20.8166521573556,13.0949648977279
model020,99990,2.29806730117723,3.11487814901412,9.60478065437475,3.40668464127676,15190,70,52.4338841625763,0.538078436618881,52.4338841625763,0.538078436618881,46.3741301754469,0.549020204801125,0.7287,20.7810329219086,12.9485109731601
model021,99990,2.67151680125508,3.60280118809564,9.60478065437475,3.40668464127676,21530,70,52.0881062999844,0.533357879077428,52.0881062999844,0.533357879077428,45.982485055473,0.546433237124898,0.6861,21.321577296242,13.4334627050456
model022,99990,2.94566625665001,3.87115796717056,9.60478065437475,3.40668464127676,36160,70,51.8324471178369,0.524834047106226,51.8324471178369,0.524834047106226,45.6946629963534,0.538899443021171,0.6468,21.4780798592187,13.4763657145485
model023,99990,3.60103693538438,4.71981131050349,9.60478065437475,3.40668464127676,29340,70,50.9167638008309,0.513506733111653,50.9167638008309,0.513506733111653,44.6851722168214,0.528444081741456,0.5806,22.1240799853318,14.1496119265569
model024,99990,4.75096512826897,5.91700901244182,9.60478065437475,3.40668464127676,47700,70,49.0987573888331,0.497175011602759,48.9334938165428,0.500562874685435,42.6318336713232,0.512751474274249,0.4804,23.410797246462,15.1052582853626
model025,99990,7.94982582430338,8.69199222301028,9.60478065437475,3.40668464127676,10500,70,44.2862013356631,0.447053495334851,36.8025243619916,0.573752463444428,37.3337324345538,0.455550484030906,0.3026,27.1343965717176,18.6064272655451
model026,99990,16.1091693102791,12.8194467868019,9.60478065437475,3.40668464127675,15550,70,33.3914247072853,0.352439356737677,19.6360545709209,0.421090516544768,26.242734927225,0.348141869277762,0.1056,39.1185384915846,27.4778800547045
model027,99990,25.327745786283,11.9970331022224,9.60478065437475,3.40668464127678,11610,70,21.3309274868122,0.273539018186943,14.5868381310975,0.281528096487013,16.4894301103892,0.258712560749974,0.0138,57.1141493993517,29.390808802132
model028,99990,4.33047867425854,5.45617070388502,9.60478065437475,3.40668464127676,5880,70,49.7559516611648,0.505355140323337,49.7377947895724,0.505721501196363,43.350280601384,0.520852272139956,0.5137,22.7613052367158,14.4832180461745
model029,99990,4.54933304165979,5.75350628092542,9.60478065437475,3.40668464127676,45030,70,49.359067319807,0.499478138780824,49.3069949143252,0.500536908329177,42.9422660707586,0.514807605000497,0.4925,23.2178522960208,15.1020874015717
model030,99990,5.44599914846419,6.52425995961516,9.60478065437475,3.40668464127676,13990,70,48.1490298638117,0.484490950976516,46.9875888707025,0.507885590867725,41.6039237701973,0.498686818684855,0.4345,23.9522133910061,15.8710124931891
model031,99990,6.46543178692888,7.75606951444528,9.60478065437475,3.40668464127676,50490,70,46.3638136752718,0.467051291251144,42.4507066973557,0.541092904411287,39.5883718386357,0.47876236477855,0.3706,25.4263147719332,17.2891192963023
model032,99990,8.18024493812836,9.27928883457556,9.60478065437475,3.40668464127676,65890,70,43.927637330636,0.448026079637011,36.078943479679,0.578782766755622,36.9486737087713,0.454959894631052,0.3,27.440203021062,18.7488483641516
model033,99990,10.1669014263271,9.96921770739242,9.60478065437474,3.40668464127676,42590,70,41.4134807379655,0.417723772758429,29.6572407260893,0.587456344246943,34.2542144718156,0.422489997381532,0.2301,29.7922660064459,20.8404520720335
model034,99990,12.6871527576094,11.3859546202453,9.60478065437474,3.40668464127676,13340,70,37.6784425133625,0.385751021597115,23.294397049651,0.541773661219496,30.4740270081296,0.386464272028083,0.1571,33.974889910986,23.8959520688798
model035,99990,16.209136591612,12.3520722893712,9.60478065437475,3.40668464127677,29510,70,33.0176873703896,0.346740994417231,19.9792012848785,0.409135916196553,26.020804751143,0.342090910299473,0.0917,39.8078079922036,26.8639789676601
model036,99990,19.5317439186806,12.7741089012464,9.60478065437475,3.40668464127678,12750,70,28.690042866692,0.314762590851422,17.6526652381594,0.34910546375702,22.2253804870679,0.307888351944177,0.0515,45.4708734239499,29.3369225117418
model037,99990,22.6984234116423,12.1501684919676,9.60478065437475,3.40668464127678,6150,70,24.583698444101,0.290468331648067,15.9018901206384,0.307348259197042,18.9400438210481,0.279230988914533,0.0254,52.3892588272708,29.3550347544401
model038,99990,26.8860279839891,12.1434964525204,9.60478065437474,3.40668464127673,1570,70,19.6230422980018,0.26302873560017,14.0017005289525,0.265368478558136,15.2967815674741,0.246428202563291,0.0072,60.0987062532276,29.1908853286115
