Model,Duration_kyr,ADF_median,ADF_iqr,NADF_median,NADF_iqr,ADF_StableTime,NADF_StableTime,Model_G_a_S_nocut,Model_G_b_S_nocut,Model_G_a_Svd,Model_G_b_Svd,Model_G_a_SpSE,Model_G_b_SpSE,t_trans,VDM_median,VDM_IQR,Amin,Amax,Recurrence,MeanX,StdX,MedianX,IQRX,RevRate,PropReversing
model017,99990,1.963306666,2.805000685,9.604780654,3.406684641,23490,70,52.76935439,0.545727659,52.76935439,0.545727659,46.72127678,0.556193662,0.7662,20.69281619,12.8941323,-1.5,0.6,0.006,0.474518221,0.437121831,0.349032896,0.511500119,13.78391023,0.180292057
model018,99990,2.142858681,2.896047579,9.604780654,3.406684641,5740,70,52.77372333,0.540317474,52.77372333,0.540317474,46.72514791,0.552215747,0.7515,20.69274984,13.07710367,-1.35,0.6,0.006,0.485714541,0.45248435,0.357103929,0.520653793,13.12286116,0.147955486
model019,99990,2.16932124,2.97936293,9.604780654,3.406684641,5060,70,52.71786565,0.541136995,52.71786565,0.541136995,46.63796909,0.553147279,0.7458,20.81665216,13.0949649,-1.2,0.6,0.006,0.506883734,0.468188049,0.373551025,0.551036172,13.95783351,0.212577514
model020,99990,2.298067301,3.114878149,9.604780654,3.406684641,15190,70,52.39262957,0.537973246,52.39262957,0.537973246,46.32559323,0.548690104,0.7287,20.78103292,12.94851097,-1.05,0.6,0.006,0.538714382,0.501517057,0.399340158,0.577792027,11.91536824,0.148490332
model021,99990,2.671516801,3.602801188,9.604780654,3.406684641,21530,70,52.06918351,0.533185369,52.06918351,0.533185369,45.95286657,0.546518944,0.6861,21.3215773,13.43346271,-0.9,0.6,0.006,0.612183597,0.544632027,0.464901668,0.661418301,12.12866033,0.293445609
model022,99990,2.945666257,3.871157967,9.604780654,3.406684641,36160,70,51.882577,0.524412378,51.882577,0.524412378,45.73378639,0.538817087,0.6468,21.47807986,13.47636571,-0.75,0.6,0.006,0.68664563,0.594852749,0.53177953,0.715928001,10.25704511,0.344571112
model023,99990,3.601036935,4.719811311,9.604780654,3.406684641,29340,70,50.84908812,0.515639019,50.84908812,0.515639019,44.60062336,0.531117901,0.5806,22.12407999,14.14961193,-0.6,0.6,0.006,0.823845029,0.697922453,0.647844301,0.870821941,8.920241266,0.257008492
model024,99990,4.750965128,5.917009012,9.604780654,3.406684641,47700,70,49.10047577,0.497428349,48.956184,0.500384656,42.63640221,0.512771333,0.4804,23.41079725,15.10525829,-0.45,0.6,0.006,1.091294514,0.891610533,0.883311042,1.113456798,6.320020135,0.187892862
model025,99990,7.949825824,8.691992223,9.604780654,3.406684641,10500,70,44.29535278,0.447266829,36.92100631,0.57244392,37.35162443,0.45582161,0.3026,27.13439657,18.60642727,-0.3,0.6,0.006,1.747518864,1.310783902,1.49704876,1.674477684,3.655246361,0.191666603
model026,99990,16.10916931,12.81944679,9.604780654,3.406684641,15550,70,33.38059131,0.352911389,19.60191515,0.421552349,26.22402189,0.348914277,0.1056,39.11853849,27.47788005,-0.15,0.6,0.006,3.262219348,1.756278273,3.143353246,2.473965905,0.501456102,0.426501051
model027,99990,25.32774579,11.9970331,9.604780654,3.406684641,11610,70,21.29243995,0.273732246,14.58763625,0.281254085,16.46460935,0.258704034,0.0138,57.1141494,29.3908088,0,0.6,0.006,4.993079264,1.730215139,4.973089171,2.336852293,0.106356933,0.303538466
model028,99990,4.330478674,5.456170704,9.604780654,3.406684641,5880,70,49.75876184,0.504513345,49.74367669,0.504818294,43.36960335,0.519760929,0.5137,22.76130524,14.48321805,-0.5,0.6,0.006,0.972123491,0.796792485,0.778472796,1.013539023,4.769809142,0.537868706
model029,99990,4.549333042,5.753506281,9.604780654,3.406684641,45030,70,49.33996529,0.499804242,49.27257358,0.501175892,42.91968787,0.514855054,0.4925,23.2178523,15.1020874,-0.45,0.6,0.006,1.113485612,0.927036998,0.887417209,1.134173991,5.095365611,0.448935975
model030,99990,5.445999148,6.52425996,9.604780654,3.406684641,13990,70,48.17547252,0.484690436,46.91529284,0.510001391,41.62615924,0.498969768,0.4345,23.95221339,15.87101249,-0.4,0.6,0.006,1.323277559,1.094622369,1.066926035,1.343539792,5.233816935,0.19133783
model031,99990,6.465431787,7.756069514,9.604780654,3.406684641,50490,70,46.36275964,0.467148707,42.3929701,0.542120869,39.6002074,0.478680116,0.3706,25.42631477,17.2891193,-0.35,0.6,0.006,1.467062975,1.181765739,1.196503869,1.495909767,2.62866942,0.571268202
